,isbn_13,isbn_10,lta
84,9780007195305,0007195303,"['Pulitzer Prize (2004.1|Fiction, 2004)', 'National Book Critics Circle Award (Fiction, 2003)', 'International IMPAC Dublin Literary Award Winner (2005)', 'New York Times Best Books of the Year (2003)', 'National Book Award finalist (2003.1|Fiction, 2003)', 'Today Show Book Club selection (17)', 'New York Times: Best Work of American Fiction of the Last 25 Years (Multiple Votes)', 'ALA Outstanding Books for the College Bound (2009.2|History & Cultures, 2009)', 'Anisfield-Wolf Book Award (2004.2|Nonfiction, 2004)', 'ALA Notable Books for Adults (2004)', 'Lannan Literary Award for Fiction (2004)', 'Oxford American Best Southern Books of All Time (Novels, 23)', ""Esquire's 75 Books Every Man Should Read"", 'BCALA Book Award (First Novel, 2004)', 'Library of Virginia Award (Fiction, 2004)', 'Hurston/Wright Legacy Award nominee (Fiction, 2004)', '1,000 Books to Read Before You Die Page-A-Day Calendar 2021']"
85,9780007195718,0007195710,
86,9780007204441,0007204442,"[""Time's All-Time 100 Novels selection"", ""The Modern Library's 100 Best Novels: The Reader's List (80)"", 'Radcliffe Publishing Course Top 100 Novels of the 20th Century (73)', 'Guardian 1000 (Science Fiction & Fantasy)', '1001 Books You Must Read Before You Die (2006/2008/2010/2012 Edition)', 'Publishing Triangle 100 Best Lesbian and Gay Novels', 'The Modern Library: the 200 best novels in English since 1950 (1950s)', '501 Must-Read Books (Modern Fiction)', '61 Essential Postmodern Reads (13| disrupts/plays with form, comments on its own bookishness, plays with language, blurs reality and fiction, postmodern progenitor)', 'Harenberg Buch der 1000 Bücher', '100 лучших книг по версии Дистопии (35)', '1001 böcker du måste läsa innan du dör']"
87,9780007204465,0007204469,"[""Time's All-Time 100 Novels selection"", ""The Modern Library's 100 Best Novels: The Board's List (050)"", ""The Modern Library's 100 Best Novels: The Reader's List (68)"", 'Radcliffe Publishing Course Top 100 Novels of the 20th Century (84)', 'New York Times bestseller (Fiction, 1961)', ""Larry McCaffery's 20th Century Greatest Hits (37)"", 'Guardian 1000 (Love)', '1001 Books You Must Read Before You Die (2006/2008/2010/2012 Edition)', ""Newsweek's Top 100 Books: The Meta-List (2009, No. 82)"", ""The Essential Man's Library: 100 Must-Read Books"", ""Esquire's 75 Books Every Man Should Read"", ""The Observer's 100 Best Novels (59)"", 'Black Cat (BD10)', 'Harenberg Buch der 1000 Bücher', 'Greatest Books algorithm (#285)', '100 лучших книг по версии журнала ""Marie Claire""']"
88,9780007205585,0007205589,"['Pulitzer Prize finalist (2000.1|Fiction, 2000)', 'New York Times Best Books of the Year (1999)', 'Borders Original Voices (2000)', 'Ambassador Book Award (2000.3|Fiction, 2000)', 'Los Angeles Times Book Prize finalist (Fiction, 1999)', ""San Francisco Chronicle list of The 20th Century's 100 Best Fiction of the American West (84)""]"
89,9780020199854,0020199856,['Choice Outstanding Academic Book (1995)']
90,9780020264736,0020264739,['Mythopoeic Fantasy Award (1973)']
91,9780020442608,0020442602,"[""1001 Children's Books You Must Read Before You Grow Up (2009.0510|2009, Ages 8↑)"", 'IBBY Honour Book (1992.3|Greek Translation, 1992)', 'The Top Ten: Writers Pick Their Favorite Books (218|8 points)']"
92,9780020442806,0020442807,"['Guardian 1000 (Science Fiction & Fantasy)', 'Locus 1987 Poll, All-Time Best Fantasy Novel (26)', 'Locus 1998 Poll, All-Time Best Fantasy Novel Before 1990 (13)', 'Audie Winner (2004.01|Package Design, 2005 & Achievement in Production, 2004)', ""Christianity Today's Books of the Century"", 'Harvard Bookstore Top 100 (67)', '1000 лучших произведений мировой худ. литературы в русских переводах, рекомендованных для комплектования школьной библиотеки', 'BBC Culture - The 100 Greatest British Novels (97)', 'The Great American Read (9)', '1,000 Books to Read Before You Die Page-A-Day Calendar 2021', ""Audie Award Finalist (Children's Titles for Ages 8+, 2005)""]"
93,9780020518600,0020518609,['1001 böcker du måste läsa innan du dör']
94,9780023513206,0023513209,
95,9780024181909,0024181900,"['New York Times bestseller (General, 1959)', ""The Modern Library's 100 Best Nonfiction: The Board's List (21)"", ""The Modern Library's 100 Best Nonfiction: The Reader's List (75)"", ""National Review's 100 Best Nonfiction Books of the Century (62)"", ""The Guardian's 100 Best Nonfiction Books of All-Time (23)"", 'KIB - Non Fiction books everyone should read (13)']"
96,9780024266408,002426640X,
97,9780026995016,0026995018,"['New York Times bestseller (General, 1976)']"
98,9780027054903,002705490X,
99,9780027897500,0027897508,
100,9780029131695,0029131693,
101,9780029221303,0029221307,['ASA Distinguished Scholarly Book Award (1986)']
102,9780029227961,0029227968,"['New York Times bestseller (General, 1961)', 'Woodrow Wilson Foundation Award (1961)']"
103,9780030420566,0030420563,
104,9780030547744,0030547741,"[""1001 Children's Books You Must Read Before You Grow Up (2009.0546|2009, Ages 8↑)"", ""Flicker Tale Children's Book Award (winner 1981)"", ""Massachusetts Children's Book Award (Winner, 1987)"", ""Great Stone Face Children's Book Award (1988)"", 'AISLE Read-Aloud Books Too Good To Miss (1990.2|Intermediate, 1990)', ""North Dakota Flicker Tale Children's Book Award (1981)"", 'School Library Journal Top 100 Children’s Novels, 2010 Poll (46)', ""School Library Journal Top 100 Children's Novels, 2012 Poll (34)"", 'The Great American Read (31)']"
105,9780060001537,0060001534,"[""Book Sense Book of the Year Honor Book (2006.1 | Children's Illustrated Honor Book, 2006)"", 'Arkansas Diamond Primary Book Award Nominee (2008|2007-2008)', ""Utah Beehive Book Award Nominee (2007.4|Children's Picture, 2007)""]"
106,9780060004507,0060004509,
107,9780060005696,0060005696,"['Business Week Top Ten Books of the Year', 'forbes.com Top Ten Books of the Year']"
108,9780060009427,006000942X,"['ALA Outstanding Books for the College Bound (2004.3|Literature & Language Arts, 2004)', 'New York Times bestseller']"
109,9780060012342,006001234X,"['Carnegie Medal (2001)', ""WH Smith Award Shortlist (Children's Literature, 2002)"", 'ALA Best Books for Young Adults (2002)', 'Abraham Lincoln Illinois High School Book Award Nominee (2007)', ""Guardian Children's Fiction Prize Shortlist (2002)"", 'Margaret A. Edwards Award (2011)']"
110,9780060012380,0060012382,"[""ALA Notable Children's Book (2004)"", 'Locus (2004.3|Young Adult Book, 2004)', ""Mythopoeic Fantasy Award Nominee (Children's Literature, 2004)"", ""W.H. Smith People's Choice (Teen Choice, 2004)"", 'ALA Best Books for Young Adults (2004)', 'A Horn Book Fanfare Best Book (2003)', 'BCCB Blue Ribbon Book (2003)', 'Geffen Award (Best Translated Fantasy Book, 2008)', 'School Library Journal Best Book of the Year (2003)', 'Amelia Bloomer List (Gr. 5-9, 2004)', 'Capitol Choices Noteworthy Book for Children and Teens (2004)', 'BCCB Blue Ribbon Book (2010.4c|True Blue Series, 2010)', 'VDL Green Mountain Book Award Nominee (2006)', 'Utah Beehive Book Award Nominee (2006.3|Young Adult, 2006)', 'Margaret A. Edwards Award (2011)']"
111,9780060013134,0060013133,"['Nebula Nominee (2005.1|Novel, 2005)', 'Quill Award Nominee (SF/Fantasy/Horror, 2005)', 'Bollinger Everyman Wodehouse Prize shortlist (2005)', 'Locus Recommended Reading (Fantasy Novel, 2004)', 'Locus Award Finalist (2005.2|Fantasy Novel, 2005)', ""NPR's Top 100 Science-Fiction, Fantasy Books (60)"", 'Geffen Award (Best Translated Science Fiction Book, 2014)', 'Margaret A. Edwards Award (2011)', 'Audie Award Finalist (Fiction, 2005)']"
112,9780060084387,0060084383,"['ALA Outstanding Books for the College Bound (2004.5|History, 2004)']"
113,9780060085445,0060085444,
114,9780060085490,0060085495,"['New York Times bestseller (Fiction, 1962)', 'Anthony Burgess: 99 Novels (1962)', 'Torchlight List (#121)', '100 лучших книг по версии Дистопии (74)']"
115,9780060088743,0060088745,"['Samuel Johnson Prize for Non-fiction (2006)', 'Theatre Book Prize (2005)', 'George Freedley Memorial Award finalist (2006)', 'The Economist Best Books (2005.12)']"
116,9780060090371,0060090375,"['Whitcoulls top 100, 2008 (86)']"
117,9780060092573,0060092572,"['New York Times bestseller (Fiction, 1972)', 'ALA Best Books for Young Adults (1972)']"
118,9780060093747,0060093749,"[""Prix de la Critique de l'Académie française (1987)""]"
119,9780060094935,0060094931,
120,9780060099459,0060099453,"[""Garden State Children's Book Award (1989.1|Easy to Read, 1989)""]"
121,9780060175641,0060175648,
122,9780060177249,0060177241,['Iowa Teen Award Nominee (1997-1998)']
